Student_ID,Full_Name,Grade_Level,Grade_Num,Age,Attendance_Rate_%,HW_Completion_%,Avg_Exam_Score,Missed_Assignments,Comm_Count,Has_Communication,Is_At_Risk,Score_Band
S00001,Donna Williams,Grade 3,3,19,33.33,33.33,,1,3,True,False,Unknown
S00002,John Stafford,Grade 5,5,11,44.0,50.0,83.5,1,4,True,False,Good
S00003,Chad Harper,Grade 3,3,9,20.0,40.0,63.0,2,0,False,False,Average
S00004,Anthony Martin,Grade 5,5,11,16.67,60.0,82.5,2,3,True,False,Good
S00005,Mary Stone,Grade 3,3,10,27.59,75.0,70.5,1,0,False,False,Average
S00006,Joe Wells,Grade 2,2,8,15.0,20.0,64.5,2,0,False,False,Average
S00007,Margaret Nixon,Grade 4,4,16,31.03,50.0,74.25,2,2,True,False,Average
S00008,James Wheeler,Grade 1,1,15,23.53,45.45,96.5,3,1,True,False,Excellent
S00009,Benjamin Cook,Grade 4,4,18,25.64,40.0,99.0,3,1,True,False,Excellent
S00010,Aaron Callahan,Grade 4,4,14,23.33,0.0,83.0,0,7,True,False,Good
S00011,christopher church,Grade 1,1,18,25.71,75.0,67.6,1,0,False,False,Average
S00012,Jonathan Solis,Grade 1,1,9,27.59,66.67,68.0,1,1,True,False,Average
S00013,Robert Sanders,Grade 2,2,18,15.38,25.0,64.5,2,3,True,False,Average
S00014,Melanie Gilmore,Grade 4,4,19,31.25,50.0,77.8,1,1,True,False,Good
S00015,Alexandria Wallace,Grade 2,2,19,16.0,33.33,93.0,2,0,False,False,Excellent
S00016,Ann Wilkerson,Grade 3,3,18,29.41,60.0,60.0,1,2,True,False,Average
S00017,Kelly Delgado,Grade 2,2,10,37.04,75.0,68.5,1,1,True,False,Average
S00018,Michael Baker,Grade 1,1,17,38.46,60.0,47.5,3,1,True,False,Failing
S00019,Jennifer Adams,Grade 4,4,11,31.25,60.0,57.0,2,2,True,False,Failing
S00020,Elizabeth Lopez,Grade 3,3,10,17.65,100.0,72.75,0,0,False,False,Average
S00021,Patricia Atkins,Grade 5,5,7,29.03,50.0,80.0,0,4,True,False,Good
S00022,Justin Wright,Grade 2,2,15,25.0,100.0,56.67,0,1,True,False,Failing
S00023,Justin Sandoval,Grade 1,1,9,23.08,60.0,55.0,1,1,True,False,Failing
S00024,Kimberly Massey,Grade 3,3,18,23.53,50.0,70.33,1,2,True,False,Average
S00025,Theresa Marsh,Grade 2,2,17,17.24,50.0,65.5,2,3,True,False,Average
S00026,Todd Noble,Grade 3,3,20,11.76,0.0,44.0,2,1,True,False,Failing
S00027,Jonathan Cline,Grade 3,3,17,38.71,60.0,108.0,2,5,True,False,Excellent
S00028,Diana Fitzpatrick,Grade 5,5,17,35.48,42.86,65.2,1,2,True,False,Average
S00029,brandi winters,Grade 3,3,19,28.12,40.0,65.0,0,3,True,False,Average
S00030,Vincent Harrison,Grade 3,3,13,30.56,100.0,71.8,0,0,False,False,Average
S00031,Michael May,Grade 4,4,17,30.43,66.67,,3,0,False,False,Unknown
S00032,Katherine Chang,Grade 4,4,15,13.89,66.67,80.5,0,1,True,False,Good
S00033,Kenneth Levine,Grade 1,1,7,12.0,100.0,66.0,0,2,True,False,Average
S00034,Melissa Cohen,Grade 1,1,9,16.0,100.0,92.75,0,1,True,False,Excellent
S00035,Pamela Lambert,Grade 2,2,15,34.48,60.0,60.5,1,1,True,False,Average
S00036,James Stewart,Grade 3,3,15,22.86,50.0,61.0,2,1,True,False,Average
S00037,Rebecca Barr,Grade 1,1,19,21.21,33.33,90.0,3,1,True,False,Excellent
S00038,Brandi Carroll,Grade 1,1,8,25.81,57.14,82.5,1,3,True,False,Good
S00039,Jordan Jenkins,Grade 1,1,7,22.22,66.67,65.5,0,0,False,False,Average
S00040,Frank Douglas,Grade 5,5,8,25.0,71.43,78.0,1,0,False,False,Good
S00041,Robert Walters,Grade 1,1,9,20.0,50.0,90.0,2,3,True,False,Excellent
S00042,Timothy Russell,Grade 3,3,16,25.0,25.0,82.5,1,3,True,False,Good
S00043,Amanda Davis,Grade 2,2,18,23.53,50.0,85.0,1,3,True,False,Good
S00044,Vicki Whitaker,Grade 1,1,12,12.12,62.5,81.0,3,3,True,False,Good
S00045,Melanie Martinez,Grade 5,5,14,34.29,100.0,61.5,0,3,True,False,Average
S00046,Michael Pennington,Grade 1,1,14,16.22,42.86,79.5,3,2,True,False,Good
S00047,deborah robinson,Grade 1,1,13,29.41,20.0,73.14,4,4,True,False,Average
S00048,Jonathon Ortiz,Grade 2,2,9,22.22,71.43,,2,3,True,False,Unknown
S00049,david soto,Grade 2,2,11,34.88,50.0,53.0,5,1,True,False,Failing
S00050,Alex Evans,Grade 2,2,19,20.0,40.0,78.33,3,4,True,False,Good
S00051,Jesse Hayes,Grade 5,5,11,12.9,42.86,58.67,3,4,True,False,Failing
S00052,Robert Fox,Grade 4,4,17,31.82,83.33,93.5,1,3,True,False,Excellent
S00053,Brian Meyer,Grade 4,4,15,39.13,40.0,72.33,1,2,True,False,Average
S00054,Thomas Morales,Grade 2,2,8,18.6,60.0,78.67,2,1,True,False,Good
S00055,Susan Miller,Grade 4,4,13,23.33,40.0,72.0,2,1,True,False,Average
S00056,Victoria Lewis,Grade 3,3,19,25.93,57.14,94.0,1,0,False,False,Excellent
S00057,Robert Foster,Grade 5,5,13,7.41,33.33,77.0,1,1,True,False,Good
S00058,Steven Donovan,Grade 5,5,8,15.79,33.33,67.67,3,0,False,False,Average
S00059,Kiara Meadows,Grade 2,2,18,34.38,60.0,92.0,1,2,True,False,Excellent
S00060,Shawn Carroll,Grade 3,3,18,19.35,33.33,69.5,3,3,True,False,Average
S00061,kent davenport,Grade 4,4,13,32.14,80.0,79.0,1,1,True,False,Good
S00062,Jason Clark,Grade 3,3,7,13.89,100.0,101.0,0,4,True,False,Excellent
S00063,jason marquez,Grade 2,2,9,24.14,50.0,57.0,3,3,True,False,Failing
S00064,Danielle Curtis,Grade 3,3,14,19.23,25.0,51.0,2,1,True,False,Failing
S00065,Laura Stanley,Grade 2,2,10,30.3,40.0,87.0,1,1,True,False,Good
S00066,Wyatt Nelson,Grade 5,5,16,30.0,60.0,69.0,1,0,False,False,Average
S00067,Philip Hill,Grade 1,1,11,13.04,100.0,75.5,0,0,False,False,Good
S00068,Robert Clark,Grade 3,3,8,12.12,0.0,71.0,1,1,True,False,Average
S00069,william ford,Grade 5,5,15,19.35,50.0,76.67,2,7,True,False,Good
S00070,Martin Bennett MD,Grade 1,1,16,22.22,100.0,93.33,0,4,True,False,Excellent
S00071,Madison Ellis,Grade 4,4,13,17.24,60.0,96.0,2,0,False,False,Excellent
S00072,Dean Cook,Grade 4,4,11,28.57,66.67,42.0,1,3,True,False,Failing
S00073,Christopher Salinas,Grade 5,5,15,18.18,60.0,95.0,1,1,True,False,Excellent
S00074,Mr. Mark Erickson,Grade 4,4,9,25.64,25.0,108.0,5,2,True,False,Excellent
S00075,Jasmine Allen,Grade 1,1,8,34.48,71.43,88.0,1,3,True,False,Good
S00076,robert martin,Grade 1,1,12,18.75,75.0,81.0,1,3,True,False,Good
S00077,Amanda Perry,Grade 2,2,17,18.52,25.0,73.5,2,1,True,False,Average
S00078,Brian Sims,Grade 3,3,14,21.88,57.14,72.33,0,2,True,False,Average
S00079,Krista Martinez,Grade 2,2,18,28.57,16.67,67.67,5,0,False,False,Average
S00080,Aaron Baldwin,Grade 4,4,13,26.47,55.56,77.67,3,3,True,False,Good
S00081,John Underwood,Grade 1,1,13,21.21,40.0,86.0,3,4,True,False,Good
S00082,Shawn Martin,Grade 4,4,9,41.18,66.67,72.33,0,3,True,False,Average
S00083,Michael Harrison,Grade 3,3,8,24.14,33.33,72.67,4,5,True,False,Average
S00084,wanda eaton,Grade 4,4,13,21.88,100.0,78.5,0,2,True,False,Good
S00085,Taylor Juarez,Grade 2,2,7,34.29,50.0,75.5,1,0,False,False,Good
S00086,Michael Lee,Grade 3,3,16,13.79,60.0,59.75,1,2,True,False,Failing
S00087,Beth Mendoza,Grade 3,3,14,36.11,50.0,75.33,2,2,True,False,Good
S00088,Michele James,Grade 5,5,11,3.03,40.0,,2,1,True,False,Unknown
S00089,Noah Dougherty,Grade 5,5,19,27.27,66.67,73.67,1,0,False,False,Average
S00090,David Downs,Grade 2,2,14,35.71,33.33,67.75,2,1,True,False,Average
S00091,Mary Williams,Grade 3,3,11,34.78,40.0,65.0,3,1,True,False,Average
S00092,Jason Parker,Grade 3,3,15,28.12,20.0,70.2,4,4,True,False,Average
S00093,robert stewart,Grade 1,1,16,16.13,0.0,91.0,0,3,True,False,Excellent
S00094,paul ortega,Grade 2,2,13,22.22,60.0,92.5,1,1,True,False,Excellent
S00095,George Williams,Grade 2,2,17,31.03,28.57,68.33,2,0,False,False,Average
S00096,Dawn Hall,Grade 4,4,18,18.52,55.56,109.0,1,2,True,False,Excellent
S00097,Tyler Schroeder,Grade 5,5,17,26.67,66.67,85.0,2,2,True,False,Good
S00098,Courtney Taylor,Grade 3,3,19,15.62,50.0,85.5,1,0,False,False,Good
S00099,Jason George,Grade 2,2,14,30.56,80.0,49.0,1,0,False,False,Failing
S00100,Anthony Villarreal,Grade 3,3,10,34.21,42.86,,3,1,True,False,Unknown
S00101,William Mitchell,Grade 5,5,17,21.95,50.0,101.33,2,0,False,False,Excellent
S00102,Stacey Ramos,Grade 4,4,14,29.17,33.33,63.6,2,1,True,False,Average
S00103,Jacqueline Richard,Grade 5,5,15,15.79,61.54,82.75,4,2,True,False,Good
S00104,Allison Flores,Grade 3,3,11,21.05,70.0,,1,2,True,False,Unknown
S00105,John Singleton,Grade 3,3,17,19.23,50.0,89.5,2,3,True,False,Good
S00106,Matthew Chandler,Grade 1,1,19,31.25,50.0,97.0,1,1,True,False,Excellent
S00107,Brian Ferguson,Grade 3,3,9,25.93,60.0,101.0,1,5,True,False,Excellent
S00108,James Orozco,Grade 5,5,13,18.75,60.0,79.5,1,2,True,False,Good
S00109,Sandy Lee,Grade 1,1,8,14.71,33.33,65.67,2,3,True,False,Average
S00110,Scott Perez,Grade 5,5,19,18.18,50.0,61.0,1,3,True,False,Average
S00111,Dylan Jones,Grade 1,1,16,13.79,57.14,,0,0,False,False,Unknown
